customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
UL64533,Nevada,Male,High School or Below,1897545.61,0.8768059207717621,237.0,0,Corporate Auto,Luxury,615.927769
PF41800,California,Female,Bachelor,471532.13,-1.2902789187598303,65.0,0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,Female,College,473787.17,-1.2902789187598303,130.0,0,Personal Auto,SUV,23.820158
SK67821,Oregon,Female,Bachelor,493291.63,-0.06684248607225729,62.0,0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,Female,High School or Below,574422.97,0.9749172482240023,71.0,0,Personal Auto,Four-Door Car,204.475147
KY38074,California,Male,Bachelor,1389173.57,0.09881067557317498,117.0,0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,Female,Master,738097.67,0.8671852317009768,91.0,0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,Male,Bachelor,309003.41,-1.2902789187598303,90.0,0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,Female,High School or Below,252163.31,0.45796117747163645,66.0,2,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,Male,High School or Below,265206.18,-1.2902789187598303,70.0,1,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,Female,College,277104.5,0.3538081886234083,71.0,0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,Male,Bachelor,393900.64,0.6805175956347167,99.0,0,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,Female,High School or Below,1223187.97,0.1296428497624834,103.0,0,Personal Auto,Luxury,494.4
YD87931,Washington,Male,Doctor,495165.61,0.24955669442633246,35354.0,1,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,Male,Doctor,1281910.29,-0.9584800687247277,172.0,3,Personal Auto,SUV,0.517753
BU27331,Arizona,Female,Bachelor,446851.05,-1.2902789187598303,73.0,3,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,Female,High School or Below,551434.4,-0.527913188911734,71.0,0,Personal Auto,Two-Door Car,447.79344
KP34198,California,Male,Bachelor,334387.53,-1.2902789187598303,92.0,0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,Female,High School or Below,229447.89,-1.2902789187598303,62.0,0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,Female,College,3670742.64,-0.4758366944876199,104.0,0,Personal Auto,SUV,593.830288
PY51963,California,Male,Bachelor,3347334.95,-0.20048140934220957,106.0,0,Corporate Auto,SUV,508.8
RB69909,Nevada,Female,High School or Below,798343.17,-0.10775504096030657,69.0,3,Special Auto,Four-Door Car,173.956072
NW21079,Washington,Female,Master,487938.48,0.9150259961246427,61.0,2,Personal Auto,Two-Door Car,33.192803
FR46645,California,Female,Bachelor,429399.73,-0.7418996417250704,113.0,0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,Male,College,716439.55,0.24059270768119806,91.0,0,Corporate Auto,Four-Door Car,436.8
AP67935,California,Female,College,761951.58,0.8357620254185827,64.0,0,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,Male,High School or Below,395800.28,-1.2902789187598303,101.0,0,Personal Auto,SUV,484.8
ML29312,Oregon,Male,High School or Below,449949.33,-0.7330998305613486,124.0,2,Personal Auto,SUV,704.768111
UB61619,Oregon,Female,Master,405956.74,-0.9087020324403916,108.0,0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,Male,Bachelor,445811.34,-0.7116584996288478,65.0,1,Personal Auto,Four-Door Car,312.0
RU83859,California,Female,Bachelor,811033.31,-0.9130362677896874,105.0,0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,Male,Bachelor,333976.49,-1.2902789187598303,94.0,0,Personal Auto,Two-Door Car,863.327324
NN71951,California,Female,High School or Below,2426101.78,0.89407719193638,100.0,0,Personal Auto,SUV,104.331355
WB37082,Arizona,Female,Bachelor,661397.37,-1.2902789187598303,63.0,0,Personal Auto,Four-Door Car,676.391482
SM52139,Washington,Male,College,293069.35,-0.18495039934056648,73.0,0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,Male,College,867219.43,-0.5499455519373206,112.0,0,Corporate Auto,SUV,537.6
DP45816,Arizona,Male,High School or Below,1163866.93,0.728621040988643,97.0,0,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,Male,Bachelor,684615.03,-1.2902789187598303,95.0,0,Personal Auto,Two-Door Car,456.0
RZ33670,California,Male,College,1172777.65,-0.3091984793537113,102.0,0,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,Female,High School or Below,2264383.48,1.7637480817958286,113.0,0,Personal Auto,SUV,281.451042
MO91628,Oregon,Male,Master,261447.43,0.8501109712340542,65.0,0,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,Male,Master,245175.27,-0.4089843977363612,64.0,2,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,Female,Bachelor,678127.02,-1.2902789187598303,104.0,1,Personal Auto,Luxury,982.399613
BN87372,Oregon,Female,Bachelor,497480.15,1.1935006173168947,65.0,3,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,Female,Bachelor,859160.49,-0.010234745601152189,73.0,0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,Female,High School or Below,559216.14,1.0676436166059053,71.0,0,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,Male,College,800947.28,-0.6020220463614347,67.0,0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,Female,Master,793690.26,0.06499050580215511,96.0,0,Personal Auto,Four-Door Car,41.122303
OM82309,California,Male,Bachelor,5816655.35,0.7232032468020233,186.0,1,Personal Auto,Luxury,427.63121
ZU35962,California,Male,College,802522.94,-1.2902789187598303,77.0,0,Personal Auto,Two-Door Car,25.807685
VH85817,California,Male,High School or Below,578018.22,0.3864791293245391,74.0,0,Personal Auto,Four-Door Car,787.993313
DT85712,California,Female,Doctor,411853.91,-0.16147329119854784,102.0,0,Personal Auto,SUV,489.6
YJ88573,Nevada,Male,Master,252307.02,0.12399520976188588,63.0,0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,Male,College,655421.64,-0.46211161588151667,90.0,0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,Female,Bachelor,538275.2,1.2561500191839878,68.0,1,Corporate Auto,Four-Door Car,45.215059
ET79815,California,Female,College,592672.94,-0.532083248679617,96.0,5,Personal Auto,Four-Door Car,460.8
QC35222,California,Male,Bachelor,268347.07,0.29463930908226477,69.0,3,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,Female,Bachelor,269518.24,-0.21591391399500506,67.0,0,Personal Auto,Four-Door Car,321.6
OI48267,California,Male,College,604702.52,-0.6205738870610719,76.0,1,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,Female,College,1317101.28,-0.5838970621734707,119.0,1,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,Female,College,1595001.95,-1.2902789187598303,87.0,1,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,Female,Bachelor,252765.38,1.360959710357867,63.0,0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,Female,Bachelor,267209.58,0.4441375935166856,67.0,0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,Female,High School or Below,531329.4,-1.2902789187598303,77.0,1,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,Male,Bachelor,2094619.25,0.9995764205521924,74.0,1,Personal Auto,Four-Door Car,492.127532
KH48895,Arizona,Female,Master,837535.39,-0.7064705512562058,109.0,0,Personal Auto,SUV,132.588288
NZ30757,California,Female,Bachelor,480166.15,-0.6957334682318141,62.0,0,Personal Auto,Four-Door Car,297.6
RI22468,Arizona,Male,Bachelor,574594.33,0.6056206953942348,74.0,3,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,Male,College,606611.6,-0.2189675798092816,76.0,0,Personal Auto,Two-Door Car,380.036697
UG93476,California,Male,College,800230.83,-1.2902789187598303,107.0,0,Personal Auto,SUV,513.6
AB96670,California,Female,College,239391.54,-1.2902789187598303,70.0,0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,Female,Bachelor,476281.79,0.8701075570501232,62.0,1,Corporate Auto,Two-Door Car,49.011099
EV68375,California,Male,College,433038.6,0.6954247384269915,107.0,0,Personal Auto,Four-Door Car,513.6
UN51653,California,Male,High School or Below,940272.98,-1.2902789187598303,130.0,0,Personal Auto,SUV,936.0
TO96662,Oregon,Male,Bachelor,696669.45,0.08344384115294459,88.0,0,Personal Auto,Four-Door Car,142.062768
MR52087,California,Male,Bachelor,769406.43,-0.2296061574848257,65.0,0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,Male,High School or Below,871756.11,-1.2902789187598303,117.0,1,Personal Auto,SUV,561.6
EP80820,California,Female,Bachelor,592874.85,0.0405611792879427,74.0,0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,Female,College,245297.73,1.333181201982835,62.0,1,Corporate Auto,Four-Door Car,271.606799
WI57118,California,Male,College,670157.17,0.5615559693430614,85.0,0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,Male,High School or Below,499655.27,1.0607154070702887,63.0,0,Personal Auto,Two-Door Car,46.158117
MQ14219,Arizona,Female,College,849269.88,-0.3773313456399892,109.0,0,Personal Auto,SUV,784.8
KN20603,Oregon,Female,Bachelor,771349.4,0.2039158827935969,66.0,2,Personal Auto,Four-Door Car,316.8
SG20925,Washington,Female,Master,518579.76,1.9744510229809107,6464.0,1,Personal Auto,Four-Door Car,48.046869
JI70886,California,Male,High School or Below,729006.98,-1.2902789187598303,102.0,1,Corporate Auto,SUV,489.6
VF72557,Oregon,Male,High School or Below,477294.38,-0.6009713226403934,133.0,0,Personal Auto,SUV,638.4
OX28638,Arizona,Male,High School or Below,680649.14,-0.04783095374466457,86.0,0,Personal Auto,Two-Door Car,465.633954
SK55033,California,Female,Bachelor,246978.13,1.7538975469110656,62.0,0,Personal Auto,Two-Door Car,368.400146
OO88645,California,Male,College,310392.3,1.1613550384762845,78.0,2,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,Female,College,1048491.54,0.7162093670338415,89.0,0,Personal Auto,Four-Door Car,49.451117
CW82151,California,Female,Bachelor,890273.76,0.24748808210053222,112.0,0,Personal Auto,Luxury,64.109663
DY22043,Oregon,Male,High School or Below,549944.72,1.6244286834089965,68.0,0,Personal Auto,Two-Door Car,326.4
SH36774,California,Female,High School or Below,1502359.86,-0.36229286238258424,192.0,0,Personal Auto,Luxury,921.6
EM43724,Nevada,Male,Bachelor,250910.79,-0.1884965918990812,63.0,0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,Female,College,3122174.81,0.11440735580738316,113.0,1,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,Male,Master,313350.34,0.6420676744678582,78.0,0,Personal Auto,Four-Door Car,143.747794
GO36627,Arizona,Female,College,383745.19,-0.5718465744977772,97.0,0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,Male,College,1179049.62,-0.4611593975093229,66.0,0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,Female,High School or Below,282986.39,-0.45899227983467505,71.0,0,Personal Auto,Two-Door Car,50.422181
UH65059,Arizona,Male,High School or Below,430580.83,-0.49606312611766673,109.0,0,Personal Auto,Luxury,523.2
FV21968,Nevada,Female,Bachelor,597397.69,0.07602310487308975,74.0,0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,Male,Bachelor,567044.24,-0.357564605637898,72.0,1,Personal Auto,Four-Door Car,192.87572
TQ13499,Arizona,Male,College,473174.93,1.0026957565990342,118.0,0,Personal Auto,Four-Door Car,828.662719
BU44523,Arizona,Male,High School or Below,802637.96,-1.2902789187598303,74.0,0,Corporate Auto,Four-Door Car,532.8
MS41162,Arizona,Male,High School or Below,402296.35,-1.2902789187598303,117.0,0,Personal Auto,SUV,975.107098
PU25891,Oregon,Female,High School or Below,961831.09,1.354130006171098,119.0,0,Special Auto,Luxury,53.798708
LH92841,Washington,Female,Bachelor,725595.38,1.6284674027117494,89.0,0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,Male,College,955292.69,1.9187626657657169,79.0,0,Personal Auto,Four-Door Car,289.9122
AZ95587,Arizona,Female,Bachelor,1038855.32,0.7199525702900516,89.0,0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,Male,College,247012.12,-1.2902789187598303,74.0,0,Personal Auto,Two-Door Car,721.242206
OJ94107,Arizona,Male,Master,561906.85,0.36247665932199974,140.0,0,Personal Auto,SUV,456.52385
LP84436,California,Female,High School or Below,904711.92,-1.2902789187598303,127.0,0,Personal Auto,Luxury,1087.995426
FF22360,Washington,Female,Doctor,268731.41,1.4090959908280758,68.0,4,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,Female,High School or Below,373150.46,-1.2902789187598303,96.0,0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,Male,Bachelor,366077.03,0.8274219058828166,92.0,0,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,Female,College,792882.93,-1.2902789187598303,72.0,0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,Female,Bachelor,501175.16,-0.34269029796190575,67.0,3,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,Female,High School or Below,798825.83,1.2488606233692632,99.0,0,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,Male,College,388545.64,-1.2902789187598303,105.0,0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,Female,High School or Below,935773.78,-0.20474997445894025,117.0,0,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,Male,Master,254068.98,0.10708512487637595,65.0,0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,Male,High School or Below,488516.25,-0.4243512321565916,126.0,0,Personal Auto,SUV,604.8
BS77946,Arizona,Female,Bachelor,975330.71,-0.7152046921873624,127.0,0,Personal Auto,SUV,8.312729
YM50253,California,Female,Bachelor,294615.37,1.6409119117828332,74.0,0,Personal Auto,Four-Door Car,316.599228
NR15332,California,Male,High School or Below,258111.09,-0.3132043635401816,65.0,0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,Male,College,351738.58,0.4110397963038817,92.0,0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,Female,Bachelor,974335.01,-0.5013167447228737,82.0,0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,Male,College,387364.7,-0.3662330763364895,105.0,0,Personal Auto,Luxury,701.708239
OS94884,Arizona,Female,Bachelor,764928.2,0.440295884911628,64.0,1,Personal Auto,Two-Door Car,128.705563
ND87334,California,Male,High School or Below,228759.69,-1.2902789187598303,63.0,0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,Female,High School or Below,825576.39,0.48413076514882364,103.0,0,Personal Auto,SUV,59.987126
YL74911,California,Female,College,871492.21,-1.2902789187598303,118.0,0,Personal Auto,SUV,566.4
GK92563,Washington,Female,Doctor,681923.12,-0.5517514833328606,85.0,0,Personal Auto,Two-Door Car,61.654262
HL53154,California,Male,Bachelor,741619.73,-1.2902789187598303,77.0,2,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,Male,Master,777115.9,-0.5719779149629074,68.0,0,Personal Auto,Four-Door Car,465.41477
IC13702,California,Female,Bachelor,696834.19,-1.2902789187598303,69.0,1,Personal Auto,Four-Door Car,496.8
BE10809,California,Female,High School or Below,425028.26,-1.2902789187598303,61.0,1,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,Female,High School or Below,1977656.65,1.0311309672997169,82.0,0,Personal Auto,Four-Door Car,256.813837
TH95618,California,Female,High School or Below,2134346.6,-1.2902789187598303,74.0,1,Personal Auto,Four-Door Car,355.2
TS19868,California,Male,College,241313.97,-0.3872803858735999,63.0,0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,Female,Doctor,1536384.72,-0.7682990752162354,101.0,0,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,Female,College,845696.19,-0.4647712603004027,73.0,1,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,Female,College,218964.25,-1.2902789187598303,61.0,3,Personal Auto,Four-Door Car,292.8
DX91392,California,Male,High School or Below,578018.22,0.3864791293245391,74.0,0,Personal Auto,Four-Door Car,787.993313
AB72731,California,Female,Bachelor,463998.16,-0.3591406912194601,117.0,0,Personal Auto,Luxury,84.024413
GX84338,Washington,Female,Doctor,382443.13,0.7629009023876185,95.0,0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,Female,Bachelor,596811.89,1.6967972796957225,74.0,0,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,Female,Bachelor,859033.5,0.7819452698314937,72.0,0,Personal Auto,Four-Door Car,68.179721
HH90090,California,Female,Bachelor,407663.47,-0.3200340677269507,104.0,0,Personal Auto,Luxury,710.433775
IU25463,California,Female,Bachelor,1225260.18,-1.2902789187598303,115.0,1,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,Female,Bachelor,1693627.15,0.0037858490514939116,217.0,2,Personal Auto,Luxury,1122.658899
PD33979,Oregon,Male,High School or Below,489243.55,-0.5774613793820922,62.0,0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,Male,Bachelor,994230.48,0.938897125662052,85.0,0,Personal Auto,Four-Door Car,408.0
AB13432,California,Male,Bachelor,373583.81,-1.2902789187598303,110.0,0,Personal Auto,SUV,792.0
OZ97704,California,Female,High School or Below,1311752.22,1.4780825701376998,111.0,4,Personal Auto,SUV,532.8
UF46533,California,Female,College,457452.41,1.970773489957266,114.0,0,Corporate Auto,SUV,754.358929
XP47431,Arizona,Female,Bachelor,547006.06,0.4994647644527715,138.0,0,Personal Auto,SUV,702.990032
GK73582,California,Female,Bachelor,297884.6,0.8304099014645281,76.0,0,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,Male,College,641096.75,0.7359432719196503,82.0,2,Personal Auto,Four-Door Car,275.395894
II62831,California,Male,Master,447902.31,1.8177618480806128,111.0,1,Special Auto,SUV,459.738128
XK33449,California,Female,High School or Below,238373.19,-1.2902789187598303,69.0,0,Special Auto,Two-Door Car,496.8
TR85083,California,Male,Bachelor,276449.37,0.7154541593593431,70.0,1,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,Female,Bachelor,792010.54,1.6413716034107888,67.0,3,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,Female,High School or Below,688909.8,-1.2902789187598303,63.0,0,Personal Auto,Four-Door Car,302.4
YL83902,Washington,Female,Bachelor,327419.46,-0.2498654242311551,81.0,0,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,Male,High School or Below,995170.77,0.5765616174841838,255.0,0,Corporate Auto,Luxury,1836.0
ZW25874,Oregon,Male,Bachelor,252155.57,0.47306533096160647,67.0,2,Special Auto,Four-Door Car,67.632476
EH41854,Washington,Female,High School or Below,2370611.34,-1.2902789187598303,96.0,1,Personal Auto,Two-Door Car,844.481918
MW70227,California,Male,College,604702.52,-0.6205738870610719,76.0,1,Personal Auto,Four-Door Car,364.8
SL22297,California,Female,Master,1114030.25,-0.38143573517530716,150.0,0,Personal Auto,SUV,722.486994
RV14138,Nevada,Female,Bachelor,433406.41,-0.5053882991419091,123.0,3,Personal Auto,SUV,590.4
UO62808,Arizona,Female,High School or Below,279974.79,0.8555287654206739,69.0,0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,Male,College,792313.66,-1.2902789187598303,113.0,0,Personal Auto,SUV,1124.427734
FL34139,California,Male,High School or Below,368811.09,-1.2902789187598303,63.0,3,Personal Auto,Four-Door Car,669.682001
TS11219,California,Male,College,1206745.6,-1.2902789187598303,116.0,0,Personal Auto,SUV,1284.093173
XX12304,California,Female,College,292497.67,0.826239841696645,72.0,0,Personal Auto,Four-Door Car,240.259479
SD64087,California,Male,College,1501409.27,-0.20800065097091205,190.0,0,Corporate Auto,SUV,912.0
OY38576,Oregon,Female,High School or Below,927723.38,1.0546737456743005,116.0,0,Corporate Auto,SUV,556.8
BG76355,Washington,Female,Bachelor,627412.39,0.9741620405495037,78.0,0,Personal Auto,Four-Door Car,115.086827
IP66913,California,Male,High School or Below,388664.74,1.274406343837082,98.0,0,Personal Auto,Two-Door Car,470.4
LE95702,California,Male,College,438627.76,-0.9415371487229351,67.0,0,Special Auto,Four-Door Car,321.6
KX54357,Washington,Male,College,1136526.77,1.4977508047909434,95.0,0,Corporate Auto,Two-Door Car,383.167471
EZ78112,California,Female,High School or Below,561096.43,1.2542127473233178,70.0,0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,Male,College,291289.2,1.3725505064056047,74.0,0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Female,College,691572.99,1.881921665296703,85.0,0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,Male,College,626266.33,-0.3016135674924437,159.0,0,Corporate Auto,Luxury,466.436375
IT78748,Oregon,Female,High School or Below,650339.7,-0.565246716124986,84.0,0,Special Auto,Two-Door Car,451.670309
KY33386,Washington,Female,High School or Below,800739.94,-1.2902789187598303,112.0,0,Personal Auto,Luxury,537.6
CO44221,California,Male,College,292991.65,1.9430934869310816,72.0,0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Female,Bachelor,596955.3,1.9088792957646712,74.0,0,Personal Auto,Four-Door Car,355.2
DE21533,California,Male,Bachelor,547315.99,1.7919534466825338,69.0,0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,Male,High School or Below,564539.67,0.3634945479267586,72.0,0,Personal Auto,Four-Door Car,428.734656
UK68427,Washington,Male,High School or Below,636926.24,-0.1575330772446426,83.0,0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Female,College,1183376.73,-0.7467920740511693,103.0,0,Personal Auto,SUV,494.4
RA88421,Oregon,Female,College,612110.79,-0.410724658899336,77.0,0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,Male,College,515936.97,-1.2902789187598303,74.0,0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Female,High School or Below,251459.2,0.14986928139253022,65.0,0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,Male,High School or Below,866861.13,-0.5851776317084899,114.0,2,Corporate Auto,SUV,373.428187
WU14435,California,Male,Bachelor,496096.54,-0.6935335154408837,66.0,0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Female,Bachelor,550413.9,-1.2902789187598303,73.0,0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,College,750745.54,0.7100363651727234,64.0,0,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,Male,High School or Below,3226985.14,0.07303510929137828,90.0,0,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,Female,Bachelor,565703.16,-1.2902789187598303,152.0,0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,High School or Below,506175.79,-1.2902789187598303,68.0,0,Personal Auto,Two-Door Car,326.4
BH36570,California,Male,Bachelor,591278.38,1.0806791577700752,73.0,0,Personal Auto,Two-Door Car,350.4
TX17484,California,Female,Bachelor,1518227.98,0.4783189495668134,63.0,0,Personal Auto,Four-Door Car,105.765111
CT41158,Washington,Male,College,1074703.09,0.8914832177500591,136.0,0,Corporate Auto,SUV,639.464548
AO87348,Washington,Male,College,205062.35,-1.2902789187598303,61.0,0,Personal Auto,Four-Door Car,292.8
DE55857,Washington,Female,Bachelor,246544.49,0.8439051342566535,63.0,1,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Female,High School or Below,534312.13,0.8262726768129276,66.0,0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Female,College,811982.91,0.24042853209978535,67.0,0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Female,College,460526.52,-1.2902789187598303,64.0,0,Corporate Auto,Four-Door Car,307.2
HP36979,California,Male,College,640878.56,0.35108287397195714,84.0,5,Personal Auto,Two-Door Car,566.935022
PP40919,California,Female,College,237653.35,-1.2902789187598303,91.0,5,Personal Auto,Two-Door Car,436.8
RO73268,California,Male,Bachelor,321107.0,-0.7560844119591291,86.0,0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,Female,Bachelor,509452.23,1.0740464642810013,64.0,0,Personal Auto,Four-Door Car,307.2
